Name,H-Index
Martin Ester,59
Barry Smith,89
Olvi Mangasarian,85
Shwetak Patel,56
Alexander C Berg,48
Roch Guerin,63
Yolanda Gil,61
Michael J. Pazzani,64
Jose Meseguer,80
Michael R. Lyu,86
Steven H. Low,82
Jörg Sander,43
João Paulo Domingos Silva,77
Thomas Hofmann,56
Daniel Keim,74
Raj Jain,62
Andrew T. Campbell,81
Thomas Brox,72
Eva Tardos,64
L. Jay Guo,72
Dimitris N. Metaxas,88
David Forsyth,77
Enrique Herrera-Viedma,88
Gill Harmandeep Singh,72
Andrew Ortony,53
David Blaauw,84
Ronald Fedkiw,66
Arnold Smeulders,60
George Varghese,82
Piotr Indyk,72
Srini Devadas,89
Gabor T. Herman,70
Henry Kautz,77
Lillian Lee,38
Mohan varshney,85
Diego Calvanese,68
Allen Tannenbaum,76
Franz Baader,60
Rick Stevens,53
Steve Seitz,70
