Name,H-Index
Martin Ester,59
Barry Smith,89
Olvi Mangasarian,85
Shwetak Patel,56
Alexander C Berg,48
Roch Guerin,63
Yolanda Gil,61
Michael J. Pazzani,64
Jose Meseguer,80
Michael R. Lyu,86
