Name,H-Index
David S. Johnson,132
Jiawei Han,169
Rob Knight,166
William H. Press,76
Stephen Boyd,112
Scott Shenker,154
Chuen-Tsai Sun,148
Jeffrey Ullman,111
Deborah Estrin,126
Philip S. Yu,155
Christopher D Manning,114
Ion Stoica,126
Ian H. Witten,80
Trevor Darrell,118
David Patterson,103
Judea Pearl,98
hector garcia-molina,137
Chih-Jen Lin,65
Jian Pei,85
Ben Shneiderman,117
Manolis Kellis,104
Jason Rafe Miller,96
Jon Kleinberg,103
Johnson Thomas,143
Alfred Aho,68
Allen Newell,81
Leon Chua,123
Robert Tarjan,113
Azmed Zweil,130
Stuart Russell,76
