Name,H-Index
Ivan Stojmenovic,81
William Zhu,73
Xiaolan Zhang,40
George Furnas,35
Marc Pollefeys,86
Gaurav Sukhatme,88
"J F Nunamaker, Jr.",79
Mark Crovella,68
Richard Taylor,54
Yuri Boykov,39
Saul Greenberg,88
Munindar P Singh,73
Maurice Herlihy,68
Mark D. Hill,79
Orna Grumberg,52
Nassir Navab,81
Bart Selman,72
Pat Langley,65
Xiaofei Hei,63
Ronald C. Arkin,60
