Name,H-Index
David S. Johnson,132
Jiawei Han,169
Rob Knight,166
William H. Press,76
Stephen Boyd,112
Scott Shenker,154
Chuen-Tsai Sun,148
Jeffrey Ullman,111
Deborah Estrin,126
Philip S. Yu,155
Christopher D Manning,114
Ion Stoica,126
Ian H. Witten,80
Trevor Darrell,118
David Patterson,103
Judea Pearl,98
hector garcia-molina,137
Chih-Jen Lin,65
Jian Pei,85
Ben Shneiderman,117
Manolis Kellis,104
Jason Rafe Miller,96
Jon Kleinberg,103
Johnson Thomas,143
Alfred Aho,68
Allen Newell,81
Leon Chua,123
Robert Tarjan,113
Azmed Zweil,130
Stuart Russell,76
Scott Kirkpatrick,62
Francisco Herrera,136
Li Fei-Fei,93
Dan Boneh,111
Eibe Frank,50
David Blei,83
martin vetterli,113
Wolfram Burgard,106
Henning Schulzrinne,90
Chris Taylor,104
Ronald Graham,82
Andrew McCallum,98
Gerard Salton (1927-1995),65
George Karypis,91
William T. Freeman,108
Robert M. Haralick,77
David Wishart,103
Ramesh Jain,95
Robert Morris,73
Lixia Zhang,99
Jennifer Widom,100
Nir Friedman,90
Jian-Hung Chen,98
David Karger,93
Jim Hendler,90
Dieter Fox,104
Adrian Perrig,94
Larry Davis,109
Erkki Oja,71
John Stankovic,116
Leonidas Guibas,119
Demetri Terzopoulos,80
Thorsten Joachims,70
Barry Boehm,82
Sara Kiesler,96
Prof Yan Li,98
Thomas Cormen,31
Yuhui Shi,48
Michael Elad,84
Jure Leskovec,96
Liang Chen,93
Mani Srivastava,100
Antonio Torralba,91
Mark Horowitz,126
Mubarak Shah,104
Rob Fergus,63
Lee Sai Peck,94
Ramesh Govindan,92
Serge Belongie,82
Dawn Song,104
Mihir Bellare,102
Grzegorz Rozenberg,86
Shih-Fu Chang,113
Shree Nayar,121
Bruce Buchanan,71
Huan Liu,96
Ian Horrocks,93
W. Bruce Croft,104
Oded Goldreich,88
Padhraic Smyth,77
Eugene Charniak,73
Kang G. Shin,105
Jeremy Johnson,79
Pavel Pevzner,90
Jennifer Rexford,105
Gilles Brassard,59
Junlin Zhou,91
David Wagner,92
Stuart K. Card,88
Katia Sycara,92
Samir R. Das,56
Berthold Horn,60
Carlos A. Coello Coello,83
Kai Li,86
Alan Yuille,95
David Kriegman,69
Marc Levoy,71
rodney brooks,67
Edward A. LEE,82
William Gropp,75
Gary Bader,81
Moni Naor,89
Pedro Domingos,84
Eamonn Keogh,85
Mihai Pop,54
Steven Feiner,76
Carlo Tomasi,60
Hans-Peter Seidel,104
Hiroaki Kitano,78
Joseph Hellerstein,90
Rajeev Alur,86
Chris H.Q. Ding,80
Jason T. L. Wang,85
Tim Cootes,75
Pascal Fua,89
David Harel,76
Sanjoy Kumar Saha,67
Andrew Tanenbaum,75
Elisa Bertino,99
Dana Ballard,65
James W. Davis,86
Vineet Bafna,67
Evangelos Milios,48
Simon Kasif,52
Burkhard Rost,94
Harry Zhang,82
Thomas Dietterich,75
Laurent Itti,67
Ben Langmead,25
Yair Weiss,70
Miron Livny,86
Sangeeta N. Bhatia,99
Thomas L. Griffiths,81
tomasz imielinski,58
Dan Jurafsky,81
Kevin W. Bowyer,75
Russell H. Taylor,88
Wen Gao,89
Paul C. van Oorschot,73
Joseph Halpern,88
Stefan Savage,79
Amit Sahai,77
David Dill,74
Ramin Zabih,33
David Maier,64
H Sebastian Seung,67
Peter Belhumeur,59
Jie Wu,90
Rob Edwards,69
Salvatore Stolfo,94
Thomas Frauenheim,93
James Taylor,42
George Petersson,37
Daniela Rus,99
Eran Segal,76
Chung-Nan Lee,68
Jyh-Shing Roger Jang,36
Wenke Lee,84
A Silberschatz,81
Satinder Singh,70
Daniel Cohen-Or,94
Gene Cooperman,25
David Wetherall,82
Michael Mitzenmacher,76
David Garlan,75
Ran Canetti,73
Frank Leymann,79
Stephanie Forrest,76
Mahadev Satyanarayanan,79
Robert C. Miller,84
M A Hossain,73
Lionel Ni,83
Lawrence K Saul,50
Mihalis Yannakakis,92
Gerhard Weikum,87
Ari Juels,78
Manuela M. Veloso,80
Radford Neal,43
Kannan Ramchandran,84
Raymond Mooney,80
Martin Ester,59
Barry Smith,89
Olvi Mangasarian,85
Shwetak Patel,56
Alexander C Berg,48
